,x,,
1,4.983347099,,
2,8.728276614,,
3,8.538877417,,
4,7.458382743,,
5,9.058436936,,
6,11.65645053,,
7,10.0100854,,
8,10.40543058,,
9,9.812511432,,
10,5.974068657,,
11,14.65107377,AVG,7.87640947
12,12.29999319,MAX,15.2722622
13,10.61302403,VAR,4.006110256
14,11.03940278,QUARTILE,8.100621704
15,7.238169621,,
16,8.437119666,,
17,7.034319321,,
18,10.08882613,,
19,10.47131023,,
20,10.02020669,,
21,11.92758127,,
22,10.99159744,,
23,12.91114637,,
24,8.51203601,,
25,9.860175575,,
26,8.105865563,,
27,9.511947843,,
28,7.543612631,,
29,9.167811922,,
30,9.980140921,,
31,9.609416957,,
32,4.430448014,,
33,12.6432248,,
34,10.41946555,,
35,12.26949429,,
36,7.336243997,,
37,11.05701172,,
38,11.07486587,,
39,7.022544395,,
40,8.505008193,,
41,6.948152516,,
42,13.40285696,,
43,10.88258786,,
44,9.830022561,,
45,8.461138993,,
46,11.61983072,,
47,11.16064203,,
48,12.70512689,,
49,11.50387081,,
50,6.54960932,,
51,7.893246793,,
52,10.61375809,,
53,10.7214422,,
54,9.692170989,,
55,12.98834473,,
56,6.740019065,,
57,10.81168874,,
58,8.42480854,,
59,8.136559825,,
60,12.46888127,,
61,10.91439908,,
62,7.810043406,,
63,10.45204722,,
64,10.21098114,,
65,9.029121033,,
66,14.1137242,,
67,11.19875748,,
68,12.15401162,,
69,6.01886389,,
70,9.174842533,,
71,7.099099084,,
72,14.40131252,,
73,9.187123079,,
74,9.434596823,,
75,9.59253913,,
76,9.903163256,,
77,12.6610976,,
78,8.238143899,,
79,10.56495899,,
80,11.72151731,,
81,12.36373244,,
82,8.078821265,,
83,13.50978834,,
84,10.15720226,,
85,10.30472347,,
86,8.91115559,,
87,9.88522933,,
88,5.650524608,,
89,7.628889574,,
90,7.084297619,,
91,9.92087031,,
92,8.383967307,,
93,10.83967875,,
94,13.18408939,,
95,9.331367638,,
96,7.683890721,,
97,9.703995197,,
98,11.59131288,,
99,10.17051639,,
100,11.032005,,
101,9.227161863,,
102,10.07532721,,
103,7.503632643,,
104,11.63340323,,
105,8.319144957,,
106,7.11621526,,
107,11.25284458,,
108,10.60289468,,
109,9.355849649,,
110,9.149863335,,
111,9.324320521,,
112,10.39169273,,
113,5.470615869,,
114,12.09018452,,
115,12.4427758,,
116,7.496515069,,
117,11.50169106,,
118,10.14394469,,
119,9.497060644,,
120,9.473135503,,
121,10.11939829,,
122,10.24259266,,
123,10.67745653,,
124,9.704280605,,
125,9.569625643,,
126,8.772473699,,
127,13.9762832,,
128,10.41177786,,
129,4.813570742,,
130,7.781193581,,
131,12.06743404,,
132,12.62521368,,
133,7.946884171,,
134,8.563228043,,
135,9.687482188,,
136,8.308117374,,
137,6.784149383,,
138,4.042111237,,
139,10.911606,,
140,7.933700816,,
141,10.52441453,,
